start,start_unix,end,end_unix,reward
2016-04-04,1459742400,2016-04-28,1461816000,-0.5192659
2016-04-05,1459828800,2016-05-05,1462420800,1.0124459000000003
2016-04-06,1459915200,2016-05-09,1462766400,1.7577541
2016-04-07,1460001600,2016-05-10,1462852800,1.3202459000000002
2016-04-11,1460347200,2016-05-17,1463457600,2.0997540999999997
2016-04-18,1460952000,2016-06-06,1465185600,1.7002459
2016-04-26,1461643200,2016-06-07,1465272000,1.2563479
2016-04-28,1461816000,2016-06-08,1465358400,-0.1934658999999999
2016-04-29,1461902400,2016-06-09,1465444800,1.3744459
2016-05-06,1462507200,2016-06-14,1465876800,-0.06224590000000002
2016-05-10,1462852800,2016-06-16,1466049600,0.5636521000000001
2016-05-11,1462939200,2016-06-23,1466654400,-0.006534100000000043
2016-05-18,1463544000,2016-06-24,1466740800,0.6255541
2016-06-07,1465272000,2016-06-28,1467086400,-0.8943479000000001
2016-06-08,1465358400,2016-07-07,1467864000,-1.6265341000000002
2016-06-09,1465444800,2016-07-14,1468468800,-0.21785210000000005
2016-06-10,1465531200,2016-08-04,1470283200,-1.8314659
2016-06-15,1465963200,2016-08-05,1470369600,-1.4021479000000003
2016-06-17,1466136000,2016-08-31,1472616000,0.03146589999999999
2016-06-24,1466740800,2016-09-06,1473134400,-0.5978520999999994
2016-06-27,1467000000,2016-09-07,1473220800,0.9251279000000001
2016-06-29,1467172800,2016-09-08,1473307200,1.6607340999999995
2016-07-08,1467950400,2016-09-09,1473393600,0.25585209999999986
2016-07-15,1468555200,2016-09-12,1473652800,-0.3485340999999998
2016-08-05,1470369600,2016-09-14,1473825600,0.24555409999999994
2016-08-08,1470628800,2016-09-15,1473912000,1.8622459
2016-09-01,1472702400,2016-09-16,1473998400,0.4797540999999996
2016-09-07,1473220800,2016-09-20,1474344000,-0.0997540999999999
2016-09-08,1473307200,2016-09-22,1474516800,-0.7436520999999998
2016-09-09,1473393600,2016-09-26,1474862400,-0.1934658999999999
2016-09-12,1473652800,2016-09-29,1475121600,1.3744459
2016-09-13,1473739200,2016-10-06,1475726400,0.8943479000000001
2016-09-15,1473912000,2016-10-14,1476417600,1.6265341000000002
2016-09-16,1473998400,2016-10-17,1476676800,0.21785210000000005
2016-09-19,1474257600,2016-10-19,1476849600,1.8314659
2016-09-21,1474430400,2016-11-01,1477972800,0.4455541000000001
2016-09-23,1474603200,2016-11-03,1478145600,-1.0943479
2016-09-27,1474948800,2016-11-09,1478667600,-0.5831279000000005
2016-09-30,1475208000,2016-12-01,1480568400,-1.2807341
2016-10-07,1475812800,2016-12-02,1480654800,-3.0124459
2016-10-17,1476676800,2016-12-05,1480914000,-1.7577541
2016-10-18,1476763200,2016-12-07,1481086800,-0.3636521
2016-10-20,1476936000,2016-12-12,1481518800,-1.9934659
2016-11-02,1478059200,2016-12-13,1481605200,-0.6255541
2016-11-04,1478232000,2016-12-22,1482382800,-0.06224590000000002
2016-11-10,1478754000,2016-12-23,1482469200,1.5202459000000004
2016-12-02,1480654800,2017-01-03,1483419600,0.0997540999999999
2016-12-05,1480914000,2017-02-03,1486098000,1.7002459
2016-12-06,1481000400,2017-02-09,1486616400,0.29975409999999986
2016-12-08,1481173200,2017-02-16,1487221200,-0.29975409999999986
2016-12-13,1481605200,2017-02-21,1487653200,1.2563479
2016-12-14,1481691600,2017-02-23,1487826000,-0.1934658999999999
2016-12-23,1482469200,2017-03-07,1488862800,1.3744459
2016-12-27,1482814800,2017-03-09,1489035600,-0.06224590000000002
2017-01-04,1483506000,2017-03-27,1490587200,1.5202459000000004
2017-02-06,1486357200,2017-03-31,1490932800,1.0563479
2017-02-10,1486702800,2017-04-03,1491192000,1.8065341
2017-02-17,1487307600,2017-04-04,1491278400,1.3744459
2017-02-22,1487739600,2017-04-10,1491796800,-0.06224590000000002
2017-02-24,1487912400,2017-04-13,1492056000,0.5636521000000001
2017-03-08,1488949200,2017-04-24,1493006400,-0.006534100000000043
2017-03-10,1489122000,2017-05-02,1493697600,1.5821479000000003
2017-03-28,1490673600,2017-05-03,1493784000,1.1251279
2017-04-03,1491192000,2017-05-04,1493870400,0.6173279
2017-04-04,1491278400,2017-05-16,1494907200,2.2753279
2017-04-05,1491364800,2017-05-22,1495425600,0.9387341000000002
2017-04-11,1491883200,2017-05-24,1495598400,2.6324459
2017-04-17,1492401600,2017-06-13,1497326400,4.514347900000001
2017-04-25,1493092800,2017-06-21,1498017600,4.3831279
2017-05-03,1493784000,2017-07-14,1500004800,3.2807340999999997
2017-05-04,1493870400,2017-07-17,1500264000,3.0124459
2017-05-05,1493956800,2017-07-20,1500523200,1.7577541
2017-05-17,1494993600,2017-07-26,1501041600,1.3202459000000002
2017-05-23,1495512000,2017-07-27,1501128000,2.0997540999999997
2017-05-25,1495684800,2017-08-02,1501646400,1.7002459
2017-06-14,1497412800,2017-08-03,1501732800,0.29975409999999986
2017-06-22,1498104000,2017-09-07,1504756800,-0.29975409999999986
2017-07-17,1500264000,2017-09-08,1504843200,1.2563479
2017-07-18,1500350400,2017-09-11,1505102400,-0.1934658999999999
2017-07-21,1500609600,2017-09-20,1505880000,1.3744459
2017-07-27,1501128000,2017-09-21,1505966400,-0.06224590000000002
2017-07-28,1501214400,2017-09-26,1506398400,1.5202459000000004
2017-08-03,1501732800,2017-09-28,1506571200,1.0563479
2017-08-04,1501819200,2017-09-29,1506657600,1.8065341
2017-09-08,1504843200,2017-10-13,1507867200,1.3744459
2017-09-11,1505102400,2017-10-18,1508299200,0.8943479000000001
2017-09-12,1505188800,2017-10-20,1508472000,2.5831279000000005
2017-09-21,1505966400,2017-10-23,1508731200,2.2373279000000004
2017-09-22,1506052800,2017-11-01,1509508800,3.1187340999999997
2017-09-27,1506484800,2017-11-03,1509681600,1.8758521
2017-09-29,1506657600,2017-11-15,1510722000,1.4514659
2017-10-02,1506916800,2017-11-29,1511931600,2.2455541
2017-10-16,1508126400,2017-12-01,1512104400,1.8622459
2017-10-19,1508385600,2017-12-06,1512536400,0.4797540999999996
2017-10-23,1508731200,2017-12-20,1513746000,-1.0563479
2017-10-24,1508817600,2017-12-29,1514523600,-2.7631279
2017-11-02,1509595200,2018-01-02,1514869200,-2.4373279
2017-11-06,1509944400,2018-01-09,1515474000,-1.1187341000000002
2017-11-16,1510808400,2018-01-12,1515733200,-1.8758521
2017-11-30,1512018000,2018-01-16,1516078800,-1.4514659
2017-12-04,1512363600,2018-01-22,1516597200,-2.2455541
2017-12-07,1512622800,2018-01-25,1516856400,-0.9056520999999997
2017-12-21,1513832400,2018-01-26,1516942800,0.5831279000000005
2018-01-02,1514869200,2018-01-31,1517374800,1.2807341
2018-01-03,1514955600,2018-02-01,1517461200,3.0124459
2018-01-10,1515560400,2018-02-07,1517979600,1.7577541
2018-01-16,1516078800,2018-02-13,1518498000,0.3636521
2018-01-17,1516165200,2018-02-21,1519189200,1.9934659
2018-01-23,1516683600,2018-02-22,1519275600,0.6255541
2018-01-26,1516942800,2018-02-28,1519794000,0.06224590000000002
2018-01-29,1517202000,2018-03-02,1519966800,-1.5202459000000004
2018-02-01,1517461200,2018-03-08,1520485200,-0.0997540999999999
2018-02-02,1517547600,2018-03-09,1520571600,-0.7436520999999998
